"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Intensivmedizin","Intensivmedizin","","","",0,*,"","","","null {[]} {[]}
","MII Logical Model Intensivmedizin","Logische Repräsentation des Erweiterungsmodul Intensivmedizin","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.MonitoringUndVitaldaten.Parameter.ParameterCode","Intensivmedizin.MonitoringUndVitaldaten.Parameter.ParameterCode","","","",0,*,"","","","string {[]} {[]}
","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend):  ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend):  ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","","","","","","","","","",,,,,"",,,,"Intensivmedizin.MonitoringUndVitaldaten.Parameter.ParameterCode",0,*,"",""
"Intensivmedizin.MonitoringUndVitaldaten.Parameter.ParameterName","Intensivmedizin.MonitoringUndVitaldaten.Parameter.ParameterName","","","",0,*,"","","","string {[]} {[]}
","Parametername wie z.B. Herzfrequenz oder Pulsfrequenz","Parametername wie z.B. Herzfrequenz oder Pulsfrequenz","","","","","","","","","",,,,,"",,,,"Intensivmedizin.MonitoringUndVitaldaten.Parameter.ParameterName",0,*,"",""
"Intensivmedizin.MonitoringUndVitaldaten.KlinischRelevanteZeit","Intensivmedizin.MonitoringUndVitaldaten.KlinischRelevanteZeit","","","",0,*,"","","","null {[]} {[]}
","Siehe Intensivmedizin.KlinischRelevanteZeit","Siehe Intensivmedizin.KlinischRelevanteZeit","","","","","","","","","",,,,,"",,,,"Intensivmedizin.MonitoringUndVitaldaten.KlinischRelevanteZeit",0,*,"",""
"Intensivmedizin.MonitoringUndVitaldaten.Messwert","Intensivmedizin.MonitoringUndVitaldaten.Messwert","","","",0,*,"","","","string {[]} {[]}
","Wert der Analyse. Verschiedene Datentypen wie Quantität, Proportion, Ordinalskala oder Freitext möglich, auch in Kombination mit Einheiten.","Wert der Analyse. Verschiedene Datentypen wie Quantität, Proportion, Ordinalskala oder Freitext möglich, auch in Kombination mit Einheiten.","","","","","","","","","",,,,,"",,,,"Intensivmedizin.MonitoringUndVitaldaten.Messwert",0,*,"",""
"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich","Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich","","","",0,*,"","","","BackboneElement {[]} {[]}
","Wert der Analyse. Verschiedene Datentypen wie Quantität, Proportion, Ordinalskala oder Freitext möglich, auch in Kombination mit Einheiten.","Wert der Analyse. Verschiedene Datentypen wie Quantität, Proportion, Ordinalskala oder Freitext möglich, auch in Kombination mit Einheiten.","","","","","","","","","",,,,,"",,,,"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.id","Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.extension","Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.modifierExtension","Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.Typ","Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.Typ","","","",0,*,"","","","string {[]} {[]}
","Typ des Referenzbereichs","Typ des Referenzbereichs","","","","","","","","","",,,,,"",,,,"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.Typ",0,*,"",""
"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.Obergrenze","Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.Obergrenze","","","",0,*,"","","","string {[]} {[]}
","Obergrenze des Referenzbereichs (optional, bei Referenzbereichen ohne Obergrenze)","Obergrenze des Referenzbereichs (optional, bei Referenzbereichen ohne Obergrenze)","","","","","","","","","",,,,,"",,,,"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.Obergrenze",0,*,"",""
"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.Untergrenze","Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.Untergrenze","","","",0,*,"","","","string {[]} {[]}
","Untergrenze des Referenzbereichs (optional, bei Referenzbereichen ohne Untergrenze)","Untergrenze des Referenzbereichs (optional, bei Referenzbereichen ohne Untergrenze)","","","","","","","","","",,,,,"",,,,"Intensivmedizin.MonitoringUndVitaldaten.Referenzbereich.Untergrenze",0,*,"",""
"Intensivmedizin.MonitoringUndVitaldaten.Interpretation","Intensivmedizin.MonitoringUndVitaldaten.Interpretation","","","",0,*,"","","","string {[]} {[]}
","Interpretations des Messwerts (Kennzeichen). Codierte Bewertung des Ergebnisses. Wird sowohl für Referenzbereichbewertungen als auch für die Codierung der RAST-Klassen verwendet.","Interpretations des Messwerts (Kennzeichen). Codierte Bewertung des Ergebnisses. Wird sowohl für Referenzbereichbewertungen als auch für die Codierung der RAST-Klassen verwendet.","","","","","","","","","",,,,,"",,,,"Intensivmedizin.MonitoringUndVitaldaten.Interpretation",0,*,"",""
"Intensivmedizin.MonitoringUndVitaldaten.Messmethode","Intensivmedizin.MonitoringUndVitaldaten.Messmethode","","","",0,*,"","","","null {[]} {[]}
","Siehe Intensivmedizin.Messmethode","Siehe Intensivmedizin.Messmethode","","","","","","","","","",,,,,"",,,,"Intensivmedizin.MonitoringUndVitaldaten.Messmethode",0,*,"",""
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren","Intensivmedizin.ParameterVonExtrakorporalenVerfahren","","","",0,*,"","","","BackboneElement {[]} {[]}
","Strukturelement. In der untergeordneten Struktur sind alle Daten modiliert, die im Rahmen eines extrakorporalen Verfahrens anfallen.","Strukturelement. In der untergeordneten Struktur sind alle Daten modiliert, die im Rahmen eines extrakorporalen Verfahrens anfallen.","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterVonExtrakorporalenVerfahren",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.id","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.extension","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.modifierExtension","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren","","","",0,*,"","","","BackboneElement {[]} {[]}
","Art bzw. Bezeichnung des extrakorporalen Verfahrens","Art bzw. Bezeichnung des extrakorporalen Verfahrens","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.id","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.extension","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.modifierExtension","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.VerfahrenName","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.VerfahrenName","","","",0,*,"","","","string {[]} {[]}
","Name bzw. Bezeichnung des Verfahrens","Name bzw. Bezeichnung des Verfahrens","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.VerfahrenName",0,*,"",""
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.VerfahrenCode","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.VerfahrenCode","","","",0,*,"","","","string {[]} {[]}
","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend): ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend): ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.VerfahrenCode",0,*,"",""
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.KlinischRelevanteZeit","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.KlinischRelevanteZeit","","","",0,*,"","","","null {[]} {[]}
","Siehe Intensivmedizin.KlinischRelevanteZeit","Siehe Intensivmedizin.KlinischRelevanteZeit","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.Verfahren.KlinischRelevanteZeit",0,*,"",""
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.ParameterGemessen","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.ParameterGemessen","","","",0,*,"","","","null {[]} {[]}
","Siehe Intensivmedizin.ParameterGemessen","Siehe Intensivmedizin.ParameterGemessen","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.ParameterGemessen",0,*,"",""
"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.ParameterEingestellt","Intensivmedizin.ParameterVonExtrakorporalenVerfahren.ParameterEingestellt","","","",0,*,"","","","null {[]} {[]}
","Siehe Intensivmedizin.ParameterEingestellt","Siehe Intensivmedizin.ParameterEingestellt","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterVonExtrakorporalenVerfahren.ParameterEingestellt",0,*,"",""
"Intensivmedizin.Beatmungswerte","Intensivmedizin.Beatmungswerte","","","",0,*,"","","","BackboneElement {[]} {[]}
","Strukturelement. In der untergeordneten Struktur sind alle Daten modiliert, die im Rahmen eines extrakorporalen Verfahrens anfallen.","Strukturelement. In der untergeordneten Struktur sind alle Daten modiliert, die im Rahmen eines extrakorporalen Verfahrens anfallen.","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Beatmungswerte",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.Beatmungswerte.id","Intensivmedizin.Beatmungswerte.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.Beatmungswerte.extension","Intensivmedizin.Beatmungswerte.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
