page	lang	kind	source	gate	line	excerpt
StructureDefinition-mii-pr-icu-beatmung-intro	default	no-source	technischeimplementierung-fhir-profile-beatmungswerte-beatmungprocedure.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-beatmung-intro	de	no-source	technischeimplementierung-fhir-profile-beatmungswerte-beatmungprocedure.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
StructureDefinition-mii-pr-icu-bilanz-ausfuhr-blutverlust-intro	default	no-source	technischeimplementierung-fhir-profile-bilanzen-bilanz-observation-bilanz-ausfuhr-blutverlust-observation.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-bilanz-ausfuhr-blutverlust-intro	de	no-source	technischeimplementierung-fhir-profile-bilanzen-bilanz-observation-bilanz-ausfuhr-blutverlust-observation.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
StructureDefinition-mii-pr-icu-bilanz-ausfuhr-op-drainage-intro	default	no-source	technischeimplementierung-fhir-profile-bilanzen-bilanz-observation-bilanz-ausfuhr-op-drainage-observation.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-bilanz-ausfuhr-op-drainage-intro	de	no-source	technischeimplementierung-fhir-profile-bilanzen-bilanz-observation-bilanz-ausfuhr-op-drainage-observation.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
StructureDefinition-mii-pr-icu-dm-eingest-gem-parameter-extrakorporale-verfahren-intro	default	no-source	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-eingestellteundgemesseneparameterdevicemetric.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-dm-eingest-gem-parameter-extrakorporale-verfahren-intro	de	no-source	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-eingestellteundgemesseneparameterdevicemetric.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
StructureDefinition-mii-pr-icu-dm-eingestellte-gemessene-parameter-beatmung-intro	default	no-source	technischeimplementierung-fhir-profile-beatmungswerte-eingestellteundgemesseneparameterdevicemetric-duplicate-2.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-dm-eingestellte-gemessene-parameter-beatmung-intro	de	no-source	technischeimplementierung-fhir-profile-beatmungswerte-eingestellteundgemesseneparameterdevicemetric-duplicate-2.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
StructureDefinition-mii-pr-icu-extrakorporales-verfahren-intro	default	no-source	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-extrakorporaleverfahrenprocedure-duplicate-2.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-extrakorporales-verfahren-intro	de	no-source	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-extrakorporaleverfahrenprocedure-duplicate-2.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
