property	pre	post	verdict
identity.id	mii-ig-icu-de-v2026	mii-ig-icu-de-v2026	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/ext/modul-icu	https://www.medizininformatik-initiative.de/fhir/ext/modul-icu	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.icu	de.medizininformatikinitiative.kerndatensatz.icu	unchanged
identity.name	MII_IG_ICU	MII_IG_ICU	unchanged
identity.version	2026.0.3	2026.0.3	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	-	CC-BY-4.0	not-measurable
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik Initiative	Medizininformatik Initiative	unchanged
identity.status	draft	draft	unchanged
identity.title	MII IG ICU	MII IG ICU	unchanged
licence.contradictory	false	false	unchanged
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	false	false	unchanged
mode	static	static	unchanged
artifacts.profiles	95	95	unchanged
artifacts.extensions	0	0	unchanged
artifacts.valuesets	44	44	unchanged
artifacts.codesystems	0	0	unchanged
artifacts.logicals	1	1	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	11	11	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	0	0	unchanged
artifacts.rulesets	14	52	expected-change
artifacts.invariants	16	16	unchanged
artifacts.mappings	0	0	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	152	152	unchanged
narrative.pages	0	15	expected-change
narrative.intro_note_pages	0	69	expected-change
narrative.translation_pages	0	16	expected-change
directives.total	0	0	unchanged
