# source_page	target	reason	branch	measure
# page-map v2 - agent-refined from page-structure-advice.py output (spec 9e); Gate-B reviews this contract via the migration report.
# branch: 1=artefact intro-note, 2=section on artefact index page, 3=agreed page owns it, 4=own page, 5=RETIRED.
index.md	input/pagecontent/index.md	root landing page	3	agent-refined map; kind=narrative
beschreibungmodul.page.md.md	input/pagecontent/index.md	module description = index body (routing-table)	3	agent-refined map; kind=narrative
kontextimgesamtprojektbezgezuanderenmodulen.page.md.md	input/pagecontent/implementer-guidance.md	semantic home (routing-table)	3	agent-refined map; kind=narrative
referenzen.page.md.md	input/pagecontent/implementer-guidance.md	references section (routing-table)	3	agent-refined map; kind=narrative
release-notes.page.md.md	input/pagecontent/changes.md	release notes = changelog	3	agent-refined map; kind=narrative
anwendungsflleinformationsmodell.md	input/pagecontent/logical-models.md	hub node; informationsmodell -> logical-models	3	agent-refined map; kind=narrative
anwendungsflleinformationsmodell-beschreibungvonszenarienfrdieanwendungdermodule.page.md.md	input/pagecontent/guidance.md	use-case scenarios -> guidance	3	agent-refined map; kind=narrative
anwendungsflleinformationsmodell-datenstzeinkl.beschreibungen.page.md.md	input/pagecontent/logical-models.md	9a: dataset narrative goes ON logical-models, above the rendering	3	agent-refined map; kind=artefact-view
anwendungsflleinformationsmodell-uml.page.md.md	input/pagecontent/uml-diagrams.md	UML page -> uml-diagrams	3	agent-refined map; kind=narrative
technischeimplementierung.md	input/pagecontent/implementer-guidance.md	74-char hub; merged into implementer guidance	3	agent-refined map; kind=narrative
technischeimplementierung-kompatibilit-t.page.md.md	input/pagecontent/implementer-guidance.md	compatibility notes -> implementer guidance	3	agent-refined map; kind=narrative
technischeimplementierung-fhir-profile.md	input/pagecontent/profiles.md	profile overview -> profiles index	2	agent-refined map; kind=narrative
technischeimplementierung-fhir-profile-ger-teinformationen.page.md.md	input/pagecontent/profiles.md	family overview Geraeteinformationen -> profiles section	2	agent-refined map; kind=narrative
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren.md	input/pagecontent/profiles.md	trivial hub node (<50 chars) -> family section on profiles	2	agent-refined
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-extrakorporaleverfahrenprocedure-duplicate-2.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-extrakorporales-verfahren-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-extrakorporales-verfahren
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-eingestellteundgemesseneparameterdevicemetric.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-dm-eingest-gem-parameter-extrakorporale-verfahren-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-dm-eingest-gem-parameter-extrakorporale-verfahren
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation.md	RETIRED	page carried ONLY the generated profile rendering (0 chars prose); artifact page is regenerated by the IG Publisher - nothing to migrate	5	anchored by Canonical line; StructureDefinition/mii-pr-icu-parameter-von-extrakorporalen-verfahren
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-blutflussdurchcardiovasculresgertobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-blutfluss-cardiovasculaeres-geraet-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-blutfluss-cardiovasculaeres-geraet
